65028901.734104045, 403.2042723631507
64421965.317919075, 347.1295060080106
63728323.699421965, 317.75700934579436
63034682.08092485, 315.086782376502
62427745.664739884, 333.7783711615489
59826589.595375724, 480.6408544726303
59132947.97687861, 550.0667556742321
58526011.560693644, 534.0453938584781
58179190.751445085, 518.0240320427238
55838150.28901734, 384.5126835781041
55231213.87283237, 363.1508678237651
54624277.456647396, 381.84245660881174
53323699.421965316, 817.0894526034713
52716763.00578035, 795.7276368491323
52023121.387283236, 766.3551401869158
51329479.76878613, 953.2710280373831
50722543.352601156, 1057.4098798397863
50115606.93641619, 1084.1121495327102
49421965.317919075, 1084.1121495327102
48121387.283236995, 1046.728971962617
47514450.867052026, 1054.739652870494
46820809.248554915, 1086.7823765020025
46127167.630057804, 1092.1228304405874
45520231.213872835, 1078.7716955941255
44826589.595375724, 1052.0694259012016
44132947.97687861, 1033.3778371161548
43526011.560693644, 1006.6755674232309
42919075.144508675, 963.9519359145527
41618497.10982659, 937.2496662216288
40317919.075144514, 865.1535380507341
39017341.04046243, 720.9612817089453
38323699.42196532, 710.2803738317755
33815028.901734106, 937.2496662216288
33121387.283236995, 929.2389853137518
32427745.664739884, 846.4619492656875
31473988.439306363, 702.2696929238987
30693641.61849711, 587.4499332443256
29913294.797687866, 480.6408544726303
29219653.179190755, 443.2576769025368
28612716.76300578, 424.5660881174899
28005780.34682081, 448.5981308411215
26705202.31213873, 475.3004005340456
26011560.693641618, 467.28971962616833
24537572.254335262, 360.48064085447254
23410404.624277458, 261.68224299065423
22976878.61271677, 272.3631508678236
21502890.17341041, 288.3845126835781
20809248.554913297, 280.37383177570086
19508670.520231217, 291.05473965287047
18815028.901734106, 277.7036048064085
18121387.283237003, 245.66088117489994
17514450.867052026, 259.0120160213619
16213872.832369946, 371.16154873164214
15606936.416184977, 403.2042723631507
15173410.404624283, 299.0654205607477
15000000, 229.63951935914542
14393063.583815038, 210.9479305740988
13005780.346820816, 269.6929238985315
12312138.728323698, 267.0226969292389
11618497.109826595, 272.3631508678236
10924855.491329476, 280.37383177570086
10404624.277456656, 291.05473965287047
9190751.445086718, 253.6715620827772
8410404.624277472, 240.32042723631525
7630057.8034682125, 245.66088117489994
6763005.780346826, 251.00133511348463
5982658.959537581, 280.37383177570086
5462427.745664746, 317.75700934579436
4595375.722543359, 365.8210947930572
3901734.1040462554, 333.7783711615489
3294797.6878612638, 341.7890520694259
2514450.8670520186, 307.07610146862476
1994219.6531791985, 275.0333778371162
693641.6184971184, 285.71428571428555
